Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
SDP,NL,2012,651,710,76,0.32,0.38,0.25,0,NaN,NaN,162,0.32,0.40
SEA,AL,2012,619,651,75,0.30,0.37,0.23,0,NaN,NaN,162,0.31,0.39
SFG,NL,2012,718,649,94,0.33,0.40,0.27,1,4.00,1.00,162,0.31,0.39
STL,NL,2012,765,648,88,0.34,0.42,0.27,1,6.00,3.00,162,0.31,0.39
TBR,AL,2012,697,577,90,0.32,0.39,0.24,0,NaN,NaN,162,0.29,0.35
TEX,AL,2012,808,707,93,0.33,0.45,0.27,1,5.00,5.00,162,0.31,0.41
TOR,AL,2012,716,784,73,0.31,0.41,0.24,0,NaN,NaN,162,0.34,0.44
WSN,NL,2012,731,594,98,0.32,0.43,0.26,1,1.00,4.00,162,0.30,0.37
ARI,NL,2011,731,662,94,0.32,0.41,0.25,1,5.00,4.00,162,0.32,0.41
ATL,NL,2011,641,605,89,0.31,0.39,0.24,0,NaN,NaN,162,0.31,0.36
BAL,AL,2011,708,860,69,0.32,0.41,0.26,0,NaN,NaN,162,0.34,0.46
BOS,AL,2011,875,737,90,0.35,0.46,0.28,0,NaN,NaN,162,0.32,0.39
CHC,NL,2011,654,756,71,0.31,0.40,0.26,0,NaN,NaN,162,0.34,0.41
CHW,AL,2011,654,706,79,0.32,0.39,0.25,0,NaN,NaN,162,0.32,0.40
CIN,NL,2011,735,720,79,0.33,0.41,0.26,0,NaN,NaN,162,0.33,0.41
CLE,AL,2011,704,760,80,0.32,0.40,0.25,0,NaN,NaN,162,0.32,0.41
COL,NL,2011,735,774,73,0.33,0.41,0.26,0,NaN,NaN,162,0.33,0.43
DET,AL,2011,787,711,95,0.34,0.43,0.28,1,4.00,3.00,162,0.32,0.40
FLA,NL,2011,625,702,72,0.32,0.39,0.25,0,NaN,NaN,162,0.32,0.40
HOU,NL,2011,615,796,56,0.31,0.37,0.26,0,NaN,NaN,162,0.34,0.43
KCR,AL,2011,730,762,71,0.33,0.41,0.28,0,NaN,NaN,162,0.34,0.42
LAA,AL,2011,667,633,86,0.31,0.40,0.25,0,NaN,NaN,162,0.31,0.39
LAD,NL,2011,644,612,82,0.32,0.38,0.26,0,NaN,NaN,161,0.31,0.37
MIL,NL,2011,721,638,96,0.33,0.42,0.26,1,3.00,3.00,162,0.30,0.39
MIN,AL,2011,619,804,63,0.31,0.36,0.25,0,NaN,NaN,162,0.34,0.43
NYM,NL,2011,718,742,77,0.34,0.39,0.26,0,NaN,NaN,162,0.33,0.41
NYY,AL,2011,867,657,97,0.34,0.44,0.26,1,2.00,4.00,162,0.32,0.40
OAK,AL,2011,645,679,74,0.31,0.37,0.24,0,NaN,NaN,162,0.32,0.38
PHI,NL,2011,713,529,102,0.32,0.40,0.25,1,1.00,4.00,162,0.30,0.36
PIT,NL,2011,610,712,72,0.31,0.37,0.24,0,NaN,NaN,162,0.34,0.41
SDP,NL,2011,593,611,71,0.30,0.35,0.24,0,NaN,NaN,162,0.31,0.38
SEA,AL,2011,556,675,67,0.29,0.35,0.23,0,NaN,NaN,162,0.31,0.39
SFG,NL,2011,570,578,86,0.30,0.37,0.24,0,NaN,NaN,162,0.31,0.35
STL,NL,2011,762,692,90,0.34,0.42,0.27,1,7.00,1.00,162,0.32,0.40
TBR,AL,2011,707,614,91,0.32,0.40,0.24,1,6.00,4.00,162,0.30,0.38
TEX,AL,2011,855,677,96,0.34,0.46,0.28,1,3.00,2.00,162,0.31,0.39
TOR,AL,2011,743,761,81,0.32,0.41,0.25,0,NaN,NaN,162,0.33,0.42
WSN,NL,2011,624,643,80,0.31,0.38,0.24,0,NaN,NaN,161,0.32,0.38
ARI,NL,2010,713,836,65,0.33,0.42,0.25,0,NaN,NaN,162,0.34,0.45
ATL,NL,2010,738,629,91,0.34,0.40,0.26,1,6.00,4.00,162,0.31,0.38
BAL,AL,2010,613,785,66,0.32,0.39,0.26,0,NaN,NaN,162,0.34,0.43
BOS,AL,2010,818,744,89,0.34,0.45,0.27,0,NaN,NaN,162,0.33,0.40
CHC,NL,2010,685,767,75,0.32,0.40,0.26,0,NaN,NaN,162,0.33,0.40
CHW,AL,2010,752,704,88,0.33,0.42,0.27,0,NaN,NaN,162,0.33,0.40
CIN,NL,2010,790,685,91,0.34,0.44,0.27,1,6.00,4.00,162,0.32,0.40
CLE,AL,2010,646,752,69,0.32,0.38,0.25,0,NaN,NaN,162,0.34,0.42
COL,NL,2010,770,717,83,0.34,0.42,0.26,0,NaN,NaN,162,0.33,0.40
DET,AL,2010,751,743,81,0.34,0.41,0.27,0,NaN,NaN,162,0.33,0.40
FLA,NL,2010,719,717,80,0.32,0.40,0.25,0,NaN,NaN,162,0.33,0.40
HOU,NL,2010,611,729,76,0.30,0.36,0.25,0,NaN,NaN,162,0.33,0.40
KCR,AL,2010,676,845,67,0.33,0.40,0.27,0,NaN,NaN,162,0.34,0.43
LAA,AL,2010,681,702,80,0.31,0.39,0.25,0,NaN,NaN,162,0.33,0.40
LAD,NL,2010,667,692,80,0.32,0.38,0.25,0,NaN,NaN,162,0.32,0.38
MIL,NL,2010,750,804,77,0.34,0.42,0.26,0,NaN,NaN,162,0.34,0.43
MIN,AL,2010,781,671,94,0.34,0.42,0.27,1,4.00,4.00,162,0.32,0.42
NYM,NL,2010,656,652,79,0.31,0.38,0.25,0,NaN,NaN,162,0.33,0.39
NYY,AL,2010,859,693,95,0.35,0.44,0.27,1,3.00,3.00,162,0.32,0.40
OAK,AL,2010,663,626,81,0.32,0.38,0.26,0,NaN,NaN,162,0.31,0.38
PHI,NL,2010,772,640,97,0.33,0.41,0.26,1,1.00,3.00,162,0.31,0.41
PIT,NL,2010,587,866,57,0.30,0.37,0.24,0,NaN,NaN,162,0.35,0.45
SDP,NL,2010,665,581,90,0.32,0.37,0.25,0,NaN,NaN,162,0.31,0.37
SEA,AL,2010,513,698,61,0.30,0.34,0.24,0,NaN,NaN,162,0.31,0.40
SFG,NL,2010,697,583,92,0.32,0.41,0.26,1,5.00,1.00,162,0.31,0.37
STL,NL,2010,736,641,86,0.33,0.40,0.26,0,NaN,NaN,162,0.32,0.39
TBR,AL,2010,802,649,96,0.33,0.40,0.25,1,2.00,4.00,162,0.31,0.40
TEX,AL,2010,787,687,90,0.34,0.42,0.28,1,7.00,2.00,162,0.32,0.39
TOR,AL,2010,755,728,85,0.31,0.45,0.25,0,NaN,NaN,162,0.33,0.41
WSN,NL,2010,655,742,69,0.32,0.39,0.25,0,NaN,NaN,162,0.33,0.41
ARI,NL,2009,720,782,70,0.32,0.42,0.25,0,NaN,NaN,162,0.33,0.42
ATL,NL,2009,735,641,86,0.34,0.41,0.26,0,NaN,NaN,162,0.32,0.39
BAL,AL,2009,741,876,64,0.33,0.41,0.27,0,NaN,NaN,162,0.35,0.48
BOS,AL,2009,872,736,95,0.35,0.45,0.27,1,3.00,4.00,162,0.34,0.42
CHC,NL,2009,707,672,83,0.33,0.41,0.26,0,NaN,NaN,161,0.32,0.39
CHW,AL,2009,724,732,79,0.33,0.41,0.26,0,NaN,NaN,162,0.33,0.41
CIN,NL,2009,673,723,78,0.32,0.39,0.25,0,NaN,NaN,162,0.33,0.42
CLE,AL,2009,773,865,65,0.34,0.42,0.26,0,NaN,NaN,162,0.35,0.44
COL,NL,2009,804,715,92,0.34,0.44,0.26,1,5.00,4.00,162,0.33,0.41
DET,AL,2009,743,745,86,0.33,0.42,0.26,0,NaN,NaN,163,0.34,0.42
FLA,NL,2009,772,766,87,0.34,0.42,0.27,0,NaN,NaN,162,0.33,0.41
HOU,NL,2009,643,770,74,0.32,0.40,0.26,0,NaN,NaN,162,0.34,0.44
KCR,AL,2009,686,842,65,0.32,0.41,0.26,0,NaN,NaN,162,0.34,0.42
LAA,AL,2009,883,761,97,0.35,0.44,0.28,1,2.00,3.00,162,0.34,0.43
LAD,NL,2009,780,611,95,0.35,0.41,0.27,1,3.00,3.00,162,0.31,0.36
MIL,NL,2009,785,818,80,0.34,0.43,0.26,0,NaN,NaN,162,0.34,0.45
MIN,AL,2009,817,765,87,0.34,0.43,0.27,1,7.00,4.00,163,0.33,0.43
NYM,NL,2009,671,757,70,0.34,0.39,0.27,0,NaN,NaN,162,0.34,0.42
NYY,AL,2009,915,753,103,0.36,0.48,0.28,1,1.00,1.00,162,0.33,0.41
OAK,AL,2009,759,761,75,0.33,0.40,0.26,0,NaN,NaN,162,0.33,0.41
PHI,NL,2009,820,709,93,0.33,0.45,0.26,1,4.00,2.00,162,0.33,0.43
PIT,NL,2009,636,768,62,0.32,0.39,0.25,0,NaN,NaN,161,0.35,0.44
SDP,NL,2009,638,769,75,0.32,0.38,0.24,0,NaN,NaN,162,0.33,0.41
SEA,AL,2009,640,692,85,0.31,0.40,0.26,0,NaN,NaN,162,0.32,0.39
SFG,NL,2009,657,611,88,0.31,0.39,0.26,0,NaN,NaN,162,0.31,0.37
STL,NL,2009,730,640,91,0.33,0.41,0.26,1,6.00,4.00,162,0.32,0.39
TBR,AL,2009,803,754,84,0.34,0.44,0.26,0,NaN,NaN,162,0.32,0.42
TEX,AL,2009,784,740,87,0.32,0.45,0.26,0,NaN,NaN,162,0.33,0.42
TOR,AL,2009,798,771,75,0.33,0.44,0.27,0,NaN,NaN,162,0.34,0.43
WSN,NL,2009,710,874,59,0.34,0.41,0.26,0,NaN,NaN,162,0.35,0.45
ARI,NL,2008,720,706,82,0.33,0.41,0.25,0,NaN,NaN,162,0.32,0.40
ATL,NL,2008,753,778,72,0.34,0.41,0.27,0,NaN,NaN,162,0.34,0.42
BAL,AL,2008,782,869,68,0.33,0.43,0.27,0,NaN,NaN,161,0.36,0.43
BOS,AL,2008,845,694,95,0.36,0.45,0.28,1,3.00,3.00,162,0.32,0.39
CHC,NL,2008,855,671,97,0.35,0.44,0.28,1,2.00,4.00,161,0.32,0.40
CHW,AL,2008,811,729,89,0.33,0.45,0.26,1,6.00,4.00,163,0.32,0.41
CIN,NL,2008,704,800,74,0.32,0.41,0.25,0,NaN,NaN,162,0.34,0.45
CLE,AL,2008,805,761,81,0.34,0.42,0.26,0,NaN,NaN,162,0.33,0.42
COL,NL,2008,747,822,74,0.34,0.41,0.26,0,NaN,NaN,162,0.34,0.43
DET,AL,2008,821,857,74,0.34,0.44,0.27,0,NaN,NaN,162,0.35,0.44
FLA,NL,2008,770,767,84,0.33,0.43,0.25,0,NaN,NaN,161,0.33,0.41
HOU,NL,2008,712,743,86,0.32,0.41,0.26,0,NaN,NaN,161,0.33,0.44
KCR,AL,2008,691,781,75,0.32,0.40,0.27,0,NaN,NaN,162,0.33,0.41
LAA,AL,2008,765,697,100,0.33,0.41,0.27,1,1.00,4.00,162,0.32,0.41
LAD,NL,2008,700,648,84,0.33,0.40,0.26,1,7.00,3.00,162,0.32,0.38
MIL,NL,2008,750,689,90,0.33,0.43,0.25,1,5.00,4.00,162,0.32,0.41
MIN,AL,2008,829,745,88,0.34,0.41,0.28,0,NaN,NaN,163,0.32,0.43
NYM,NL,2008,799,715,89,0.34,0.42,0.27,0,NaN,NaN,162,0.33,0.40
NYY,AL,2008,789,727,89,0.34,0.43,0.27,0,NaN,NaN,162,0.33,0.41
OAK,AL,2008,646,690,75,0.32,0.37,0.24,0,NaN,NaN,161,0.33,0.39
PHI,NL,2008,799,680,92,0.33,0.44,0.26,1,4.00,1.00,162,0.33,0.41
PIT,NL,2008,735,884,67,0.32,0.40,0.26,0,NaN,NaN,162,0.36,0.45
SDP,NL,2008,637,764,63,0.32,0.39,0.25,0,NaN,NaN,162,0.33,0.41
SEA,AL,2008,671,811,61,0.32,0.39,0.27,0,NaN,NaN,162,0.35,0.43
SFG,NL,2008,640,759,72,0.32,0.38,0.26,0,NaN,NaN,162,0.34,0.40
STL,NL,2008,779,725,86,0.35,0.43,0.28,0,NaN,NaN,162,0.33,0.43
TBR,AL,2008,774,671,97,0.34,0.42,0.26,1,2.00,2.00,162,0.31,0.40
TEX,AL,2008,901,967,79,0.35,0.46,0.28,0,NaN,NaN,162,0.36,0.46
TOR,AL,2008,714,610,86,0.33,0.40,0.26,0,NaN,NaN,162,0.31,0.38
WSN,NL,2008,641,825,59,0.32,0.37,0.25,0,NaN,NaN,161,0.34,0.44
ARI,NL,2007,712,732,90,0.32,0.41,0.25,1,3.00,3.00,162,0.33,0.42
ATL,NL,2007,810,733,84,0.34,0.43,0.28,0,NaN,NaN,162,0.33,0.41
BAL,AL,2007,756,868,69,0.33,0.41,0.27,0,NaN,NaN,162,0.35,0.41
BOS,AL,2007,867,657,96,0.36,0.44,0.28,1,1.00,1.00,162,0.31,0.39
CHC,NL,2007,752,690,85,0.33,0.42,0.27,1,5.00,4.00,162,0.32,0.40
CHW,AL,2007,693,839,72,0.32,0.40,0.25,0,NaN,NaN,162,0.34,0.43
CIN,NL,2007,783,853,72,0.34,0.44,0.27,0,NaN,NaN,162,0.34,0.46
CLE,AL,2007,811,704,96,0.34,0.43,0.27,1,1.00,3.00,162,0.32,0.41
COL,NL,2007,860,758,90,0.35,0.44,0.28,1,3.00,2.00,163,0.33,0.42
DET,AL,2007,887,797,88,0.34,0.46,0.29,0,NaN,NaN,162,0.34,0.43
FLA,NL,2007,790,891,71,0.34,0.45,0.27,0,NaN,NaN,162,0.36,0.44
HOU,NL,2007,723,813,73,0.33,0.41,0.26,0,NaN,NaN,162,0.34,0.45
KCR,AL,2007,706,778,69,0.32,0.39,0.26,0,NaN,NaN,162,0.34,0.45
LAA,AL,2007,822,731,94,0.34,0.42,0.28,1,2.00,4.00,162,0.33,0.41
LAD,NL,2007,735,727,82,0.34,0.41,0.28,0,NaN,NaN,162,0.33,0.40
MIL,NL,2007,801,776,83,0.33,0.46,0.26,0,NaN,NaN,162,0.33,0.42
MIN,AL,2007,718,725,79,0.33,0.39,0.26,0,NaN,NaN,162,0.32,0.43
NYM,NL,2007,804,750,88,0.34,0.43,0.28,0,NaN,NaN,162,0.33,0.41
NYY,AL,2007,968,777,94,0.37,0.46,0.29,1,2.00,4.00,162,0.34,0.42
OAK,AL,2007,741,758,76,0.34,0.41,0.26,0,NaN,NaN,162,0.33,0.40
PHI,NL,2007,892,821,89,0.35,0.46,0.27,1,4.00,4.00,162,0.35,0.45
PIT,NL,2007,724,846,68,0.33,0.41,0.26,0,NaN,NaN,162,0.35,0.45
SDP,NL,2007,741,666,89,0.32,0.41,0.25,0,NaN,NaN,163,0.31,0.37
SEA,AL,2007,794,813,88,0.34,0.42,0.29,0,NaN,NaN,162,0.35,0.43
SFG,NL,2007,683,720,71,0.32,0.39,0.25,0,NaN,NaN,162,0.33,0.41
STL,NL,2007,725,829,78,0.34,0.41,0.27,0,NaN,NaN,162,0.34,0.43
TBD,AL,2007,782,944,66,0.34,0.43,0.27,0,NaN,NaN,162,0.36,0.47
TEX,AL,2007,816,844,75,0.33,0.43,0.26,0,NaN,NaN,162,0.36,0.42
TOR,AL,2007,753,699,83,0.33,0.42,0.26,0,NaN,NaN,162,0.32,0.39
WSN,NL,2007,673,783,73,0.33,0.39,0.26,0,NaN,NaN,162,0.34,0.43
ARI,NL,2006,773,788,76,0.33,0.42,0.27,0,NaN,NaN,162,0.34,0.43
ATL,NL,2006,849,805,79,0.34,0.46,0.27,0,NaN,NaN,162,0.34,0.44
BAL,AL,2006,768,899,70,0.34,0.42,0.28,0,NaN,NaN,162,0.36,0.46
BOS,AL,2006,820,825,86,0.35,0.43,0.27,0,NaN,NaN,162,0.34,0.45
CHC,NL,2006,716,834,66,0.32,0.42,0.27,0,NaN,NaN,162,0.34,0.43
CHW,AL,2006,868,794,90,0.34,0.46,0.28,0,NaN,NaN,162,0.33,0.44
CIN,NL,2006,749,801,80,0.34,0.43,0.26,0,NaN,NaN,162,0.34,0.46
CLE,AL,2006,870,782,78,0.35,0.46,0.28,0,NaN,NaN,162,0.34,0.43
COL,NL,2006,813,812,76,0.34,0.43,0.27,0,NaN,NaN,162,0.35,0.44
DET,AL,2006,822,675,95,0.33,0.45,0.27,1,3.00,2.00,162,0.32,0.41
FLA,NL,2006,758,772,78,0.33,0.43,0.26,0,NaN,NaN,162,0.35,0.42
HOU,NL,2006,735,719,82,0.33,0.41,0.26,0,NaN,NaN,162,0.32,0.42
KCR,AL,2006,757,971,62,0.33,0.41,0.27,0,NaN,NaN,162,0.37,0.48
LAA,AL,2006,766,732,89,0.33,0.42,0.27,0,NaN,NaN,162,0.32,0.40
LAD,NL,2006,820,751,88,0.35,0.43,0.28,1,5.00,4.00,162,0.33,0.42
MIL,NL,2006,730,833,75,0.33,0.42,0.26,0,NaN,NaN,162,0.33,0.44
MIN,AL,2006,801,683,96,0.35,0.42,0.29,1,2.00,4.00,162,0.31,0.42
NYM,NL,2006,834,731,97,0.33,0.45,0.26,1,1.00,3.00,162,0.32,0.41
NYY,AL,2006,930,767,97,0.36,0.46,0.28,1,1.00,4.00,162,0.33,0.41
OAK,AL,2006,771,727,93,0.34,0.41,0.26,1,4.00,3.00,162,0.34,0.42
PHI,NL,2006,865,812,85,0.35,0.45,0.27,0,NaN,NaN,162,0.34,0.46
PIT,NL,2006,691,797,67,0.33,0.40,0.26,0,NaN,NaN,162,0.36,0.43
SDP,NL,2006,731,679,88,0.33,0.42,0.26,1,5.00,4.00,162,0.31,0.40
SEA,AL,2006,756,792,78,0.33,0.42,0.27,0,NaN,NaN,162,0.34,0.43
SFG,NL,2006,746,790,76,0.32,0.42,0.26,0,NaN,NaN,161,0.34,0.41
STL,NL,2006,781,762,83,0.34,0.43,0.27,1,6.00,1.00,161,0.34,0.44
TBD,AL,2006,689,856,61,0.31,0.42,0.26,0,NaN,NaN,162,0.36,0.45
TEX,AL,2006,835,784,80,0.34,0.45,0.28,0,NaN,NaN,162,0.34,0.42
TOR,AL,2006,809,754,87,0.35,0.46,0.28,0,NaN,NaN,162,0.33,0.42
WSN,NL,2006,746,872,71,0.34,0.42,0.26,0,NaN,NaN,162,0.35,0.45
ARI,NL,2005,696,856,77,0.33,0.42,0.26,0,NaN,NaN,162,0.34,0.46
ATL,NL,2005,769,674,90,0.33,0.43,0.27,1,4.00,4.00,162,0.33,0.41
BAL,AL,2005,729,800,74,0.33,0.43,0.27,0,NaN,NaN,162,0.34,0.42
BOS,AL,2005,910,805,95,0.36,0.45,0.28,1,3.00,4.00,162,0.34,0.44
CHC,NL,2005,703,714,79,0.32,0.44,0.27,0,NaN,NaN,162,0.33,0.41
CHW,AL,2005,741,645,99,0.32,0.42,0.26,1,2.00,1.00,162,0.31,0.40
CIN,NL,2005,820,889,73,0.34,0.45,0.26,0,NaN,NaN,163,0.35,0.48
CLE,AL,2005,790,642,93,0.33,0.45,0.27,0,NaN,NaN,162,0.30,0.39
COL,NL,2005,740,862,67,0.33,0.41,0.27,0,NaN,NaN,162,0.36,0.46
DET,AL,2005,723,787,71,0.32,0.43,0.27,0,NaN,NaN,162,0.33,0.44
FLA,NL,2005,717,732,83,0.34,0.41,0.27,0,NaN,NaN,162,0.34,0.40
HOU,NL,2005,693,609,89,0.32,0.41,0.26,1,5.00,2.00,163,0.31,0.39
KCR,AL,2005,701,935,56,0.32,0.40,0.26,0,NaN,NaN,162,0.36,0.46
LAA,AL,2005,761,643,95,0.33,0.41,0.27,1,3.00,3.00,162,0.31,0.40
LAD,NL,2005,685,755,71,0.33,0.40,0.25,0,NaN,NaN,162,0.33,0.43
MIL,NL,2005,726,697,81,0.33,0.42,0.26,0,NaN,NaN,162,0.32,0.41
MIN,AL,2005,688,662,83,0.32,0.39,0.26,0,NaN,NaN,162,0.31,0.41
NYM,NL,2005,722,648,83,0.32,0.42,0.26,0,NaN,NaN,162,0.32,0.39
NYY,AL,2005,886,789,95,0.35,0.45,0.28,1,3.00,4.00,162,0.33,0.42
OAK,AL,2005,772,658,88,0.33,0.41,0.26,0,NaN,NaN,162,0.31,0.38
PHI,NL,2005,807,726,88,0.35,0.42,0.27,0,NaN,NaN,162,0.32,0.43
PIT,NL,2005,680,769,67,0.32,0.40,0.26,0,NaN,NaN,162,0.34,0.42
SDP,NL,2005,684,726,82,0.33,0.39,0.26,1,6.00,4.00,162,0.32,0.41
SEA,AL,2005,699,751,69,0.32,0.39,0.26,0,NaN,NaN,162,0.33,0.42
SFG,NL,2005,649,745,75,0.32,0.40,0.26,0,NaN,NaN,162,0.34,0.41
STL,NL,2005,805,634,100,0.34,0.42,0.27,1,1.00,3.00,162,0.32,0.40
TBD,AL,2005,750,936,67,0.33,0.42,0.27,0,NaN,NaN,162,0.35,0.46
TEX,AL,2005,865,858,79,0.33,0.47,0.27,0,NaN,NaN,162,0.34,0.43
TOR,AL,2005,775,705,80,0.33,0.41,0.27,0,NaN,NaN,162,0.32,0.42
WSN,NL,2005,639,673,81,0.32,0.39,0.25,0,NaN,NaN,162,0.33,0.40
ANA,AL,2004,836,734,92,0.34,0.43,0.28,1,6.00,4.00,162,0.33,0.41
ARI,NL,2004,615,899,51,0.31,0.39,0.25,0,NaN,NaN,162,0.35,0.44
ATL,NL,2004,803,668,96,0.34,0.43,0.27,1,4.00,4.00,162,0.33,0.40
BAL,AL,2004,842,830,78,0.34,0.43,0.28,0,NaN,NaN,162,0.35,0.40
BOS,AL,2004,949,768,98,0.36,0.47,0.28,1,3.00,1.00,162,0.32,0.41
CHC,NL,2004,789,665,89,0.33,0.46,0.27,0,NaN,NaN,162,0.32,0.40
CHW,AL,2004,865,831,83,0.33,0.46,0.27,0,NaN,NaN,162,0.34,0.45
CIN,NL,2004,750,907,76,0.33,0.42,0.25,0,NaN,NaN,162,0.35,0.48
CLE,AL,2004,858,857,80,0.35,0.44,0.28,0,NaN,NaN,162,0.34,0.45
COL,NL,2004,833,923,68,0.34,0.46,0.28,0,NaN,NaN,162,0.37,0.47
DET,AL,2004,827,844,72,0.34,0.45,0.27,0,NaN,NaN,162,0.34,0.44
FLA,NL,2004,718,700,83,0.33,0.41,0.26,0,NaN,NaN,162,0.32,0.41
HOU,NL,2004,803,698,92,0.34,0.44,0.27,1,6.00,3.00,162,0.33,0.42
KCR,AL,2004,720,905,58,0.32,0.40,0.26,0,NaN,NaN,162,0.35,0.48
LAD,NL,2004,761,684,93,0.33,0.42,0.26,1,5.00,4.00,162,0.32,0.41
MIL,NL,2004,634,757,67,0.32,0.39,0.25,0,NaN,NaN,161,0.32,0.42
MIN,AL,2004,780,715,92,0.33,0.43,0.27,1,6.00,4.00,162,0.32,0.41
MON,NL,2004,635,769,67,0.31,0.39,0.25,0,NaN,NaN,162,0.34,0.43
NYM,NL,2004,684,731,71,0.32,0.41,0.25,0,NaN,NaN,162,0.34,0.41
NYY,AL,2004,897,808,101,0.35,0.46,0.27,1,2.00,3.00,162,0.33,0.43
OAK,AL,2004,793,742,91,0.34,0.43,0.27,0,NaN,NaN,162,0.33,0.41
PHI,NL,2004,840,781,86,0.34,0.44,0.27,0,NaN,NaN,162,0.33,0.45
PIT,NL,2004,680,744,72,0.32,0.40,0.26,0,NaN,NaN,161,0.34,0.42
SDP,NL,2004,768,705,87,0.34,0.41,0.27,0,NaN,NaN,162,0.32,0.43
SEA,AL,2004,698,823,63,0.33,0.40,0.27,0,NaN,NaN,162,0.34,0.44
SFG,NL,2004,850,770,91,0.36,0.44,0.27,0,NaN,NaN,162,0.33,0.42
STL,NL,2004,855,659,105,0.34,0.46,0.28,1,1.00,2.00,162,0.31,0.40
TBD,AL,2004,714,842,70,0.32,0.41,0.26,0,NaN,NaN,161,0.34,0.44
TEX,AL,2004,860,794,89,0.33,0.46,0.27,0,NaN,NaN,162,0.34,0.43
TOR,AL,2004,719,823,67,0.33,0.40,0.26,0,NaN,NaN,161,0.35,0.43
ANA,AL,2003,736,743,77,0.33,0.41,0.27,0,NaN,NaN,162,0.33,0.42
ARI,NL,2003,717,685,84,0.33,0.42,0.26,0,NaN,NaN,162,0.32,0.39
ATL,NL,2003,907,740,101,0.35,0.47,0.28,1,1.00,4.00,162,0.33,0.40
BAL,AL,2003,743,820,71,0.32,0.41,0.27,0,NaN,NaN,163,0.35,0.45
BOS,AL,2003,961,809,95,0.36,0.49,0.29,1,4.00,3.00,162,0.33,0.41
CHC,NL,2003,724,683,88,0.32,0.42,0.26,1,7.00,3.00,162,0.32,0.37
CHW,AL,2003,791,715,86,0.33,0.45,0.26,0,NaN,NaN,162,0.32,0.40
CIN,NL,2003,694,886,69,0.32,0.40,0.24,0,NaN,NaN,162,0.35,0.46
CLE,AL,2003,699,778,68,0.32,0.40,0.25,0,NaN,NaN,162,0.33,0.43
COL,NL,2003,853,892,74,0.34,0.45,0.27,0,NaN,NaN,162,0.36,0.47
DET,AL,2003,591,928,43,0.30,0.38,0.24,0,NaN,NaN,162,0.35,0.46
FLA,NL,2003,751,692,91,0.33,0.42,0.27,1,5.00,1.00,162,0.33,0.40
HOU,NL,2003,805,677,87,0.34,0.43,0.26,0,NaN,NaN,162,0.33,0.40
KCR,AL,2003,836,867,83,0.34,0.43,0.27,0,NaN,NaN,162,0.35,0.45
LAD,NL,2003,574,556,85,0.30,0.37,0.24,0,NaN,NaN,162,0.31,0.35
MIL,NL,2003,714,873,68,0.33,0.42,0.26,0,NaN,NaN,162,0.35,0.46
MIN,AL,2003,801,758,90,0.34,0.43,0.28,1,6.00,4.00,162,0.32,0.43
MON,NL,2003,711,716,83,0.33,0.40,0.26,0,NaN,NaN,162,0.33,0.42
NYM,NL,2003,642,754,66,0.31,0.37,0.25,0,NaN,NaN,161,0.34,0.44
